membership,centre,name,totalprice,price,from
MEM0000150,62544,Mini Subscription - 1/2 year,54,54,01/01/2022
MEM0000030,62544,Coach & Volunteer Membership,24,24,06/09/2016
MEM0000041,62544,Friend for Life,0,0,01/08/2018
MEM0000033,62544,Honorary Membership,0,0,27/09/2016
MEM0000038,62544,Junior Membership - 1/2 Year,60,60,01/01/2022
MEM0000050,62544,Junior Subscription - Annual,95,95,11/09/2020
FM001,62544,Ladies Membership Monthly Subscription,10,10,02/08/2020
MEM0000051,62544,Mini Subscription - Annual,84,84,11/09/2020
MEM0000044,62544,Senior Player - Full Time Student,95,95,14/09/2020
MEM0000028,62544,Senior Player Annual Subscription,240,240,02/08/2020
MEM0000047,62544,Senior Player Monthly Subscription,20,20,02/08/2020
MEM0000046,62544,Senior Player Subscription - Casual Player,28.8,28.8,02/11/2020
MEM0000031,62544,Skilled Membership,24,24,06/09/2016
MEM0000032,62544,Social Membership,28.8,28.8,01/09/2019
